#;详细描述;Detailed description;Ətraflı təsviri;Malgöndərən/podratçının qeydləri;Part Number;Ad eng;Ad chn;Category;Factory Adress;iSTEHSALCI OLKE;Condition;Quality;Car Brand;Car marka;Part Year
8524;更换轮毂轴承（含备件）;Replacement of the hub bearing with a new one, including spare parts;Stupitsa diyircəkli yastığının (podşibnikinin) yenisi ilə əvəz olunması, ehtiyat hissəsi ilə birlikdə;4333060030. .Çin, Original;4333060030;Wheel hub bearing;轮毂轴承;Suspension / Wheel Assembly;;China;New;Original;;;
8525;用新的连杆（稳定杆）以及备件替换旧的连杆（稳定杆）。;Replacing the link (stabilizer bar) with a new one, along with the spare part;Linqin (stabilizatorun sırğası) yenisi ilə əvəz olunması, ehtiyat hissəsi ilə birlikdə;4357060031. .Çin, Original;4357060031;Stabilizer link;稳定杆连接杆;Suspension;;China;New;Original;;;
8526;更换刹车软管，含备件;Brake hose replacement, with spare part;Əyləc şlanqlarının dəyişdirilməsi, ehtiyat hissəsi ilə birlikdə;4882060051. .Çin, Original;4882060051;Brake hose;刹车软管;Braking System;;China;New;Original;;;
8527;更换前刹车支架，使用新的支架和备件。;Replacing the front brake support with a new one, along with the spare part;Ön əyləc supportunun yenisi ilə əvəz olunması, ehtiyat hissəsi ilə birlikdə;9094702G84. .Çin, Original;9094702G84;Front brake caliper;前刹车卡钳;Braking System;;China;New;Original;;;
8528;更换后刹车支架，包括备件。;Replacement of the rear brake support with a new one, including the spare part;Arxa əyləc supportunun yenisi ilə əvəz olunması, ehtiyat hissəsi ilə birlikdə;4773060320. .Çin, Original;4773060320;Rear brake caliper;后刹车卡钳;Braking System;;China;New;Original;;;
8529;刹车油，包括更换;Brake fluid, including replacement;Əyləc mayesi, dəyişdirilməsi ilə birlikdə;DOT 4 Bendix Türkiyə;DOT 4;Türkiyə;Türkiyə;Türkiyə;;China;New;Original;;;
8530;更换动力转向系统（方向盘），包括备件。;Replacement of the power steering (steering wheel) with a new one, including spare parts;Sükan hidrogücləndiricisinin (rulevoyun) yenisi ilə əvəz olunması, ehtiyat hissəsi ilə birlikdə;4431060630. .Çin, Original;4431060630;Power steering rack;转向助力齿条;Steering / Power Steering;;China;New;Original;;;
8531;动力转向油，包括更换;Power steering oil, including replacement;Sükan hidrogücləndiricisinin (rulevoyun) yağı, dəyişdirilməsi ilə birlikdə;ATF 3  Bendix,Türkiyə.;ATF 3;Türkiyə;Türkiyə;Türkiyə;;China;New;Original;;;
8532;更换水暖散热器，包括备件。;Replacing the water radiator with a new one, including spare parts;Su radiatorunun yenisi ilə əvəz olunması, ehtiyat hissəsi ilə birlikdə;1640050413.  .Çin, Original;1640050413;Radiator;散热器;Engine / Cooling System;;China;New;Original;;;
8533;更换机油散热器，包括备件。;Replacing the oil radiator with a new one, including spare parts;Yağ radiatorunun yenisi ilə əvəz olunması, ehtiyat hissəsi ilə birlikdə;1640050413. .Çin, Original;1640050413;Oil cooler;机油冷却器;Engine / Cooling System;;China;New;Original;;;
8534;更换取暖炉的散热器，包括备件。;Replacing the radiator of the heating stove with a new one, including spare parts;İstilik peçinin radiatorunun yenisi ilə əvəz olunması, ehtiyat hissəsi ilə birlikdə;1571038021. .Çin, Original;1571038021;Heater core;暖风散热器;Cooling / Heating System;;China;New;Original;;;
8535;更换恒温器，包括一个新的和备用的。;Replacing the thermostat with a new one, along with a spare part;Termostatın yenisi ilə əvəz olunması, ehtiyat hissəsi ilə birlikdə;8710760411. .Çin, Original;8710760411;Thermostat;恒温器;Engine / Cooling System;;China;New;Original;;;
8536;更换水温传感器，包括备件;Replacement of water temperature sensor, including spare part;Su temperaturu sensorunun (datçikinin) əvəz olunması, ehtiyat hissəsi ilə birlikdə;1603138010. .Çin, Original;1603138010;Coolant temperature sensor;冷却液温度传感器;Engine / Sensors;;China;New;Original;;;
8537;更换上部水暖散热器管道，包括备件;Replacement of the upper water radiator pipe, including spare part;Su radiatorunun üst borusunun (potrubkası) əvəz olunması, ehtiyat hissəsi ilə birlikdə;8980235810. .Çin, Original;8980235810;Upper radiator hose;散热器上水管;Engine / Cooling System;;China;New;Original;;;
8538;更换下部散热器管道，包括备件;Replacement of the lower radiator pipe, including spare part;Su radiatorunun alt borusunun (potrubkası) əvəz olunması, ehtiyat hissəsi ilə birlikdə;1657238130. .Çin, Original;1657238130;Lower radiator hose;散热器下水管;Engine / Cooling System;;China;New;Original;;;
8539;更换供暖炉管道（软管），包括备件;Replacement of the heating furnace pipe (hose), including spare part;İstilik peçinin borusunun (şlanqının) dəyişdirilməsi, ehtiyat hissəsi ilə birlikdə;1657138080. .Çin, Original;1657138080;Heater hose;暖风水管;Cooling / Heating System;;China;New;Original;;;
8540;冲洗燃油喷射器;Flushing fuel injectors;Yanacaq forsunkalarının yuyulması;XİDMƏT.;XİDMƏT;.;.;;;China;New;Original;;;
8541;更换水泵，包括一个新的水泵和一个备用零件。;Replacing the water pump with a new one, along with a spare part;Su nasosunun yenisi ilə əvəz olunması, ehtiyat hissəsi ilə birlikdə;16100‑0V010.Çin, Original;16100‑0V010;Water pump;水泵;Engine / Cooling System;;China;New;Original;;;
8542;燃油泵更换，包括备件;Fuel pump replacement, including spare part;Yanacaq nasosunun dəyişdirilməsi, ehtiyat hissəsi ilə birlikdə;1610039555. .Çin, Original;1610039555;Fuel pump;燃油泵;Fuel System;;China;New;Original;;;
8543;更换起动机，包括一个新的和备用的零件。;Replacing the starter with a new one, along with a spare part;Starterin yenisi ilə əvəz olunması, ehtiyat hissəsi ilə birlikdə;2322050271. .Çin, Original;2322050271;Starter motor;起动机;Engine / Starter;;China;New;Original;;;
8544;拆卸和维修起动传动装置（包括备件）;Dismantling and repairing the starter transmission (bendex), including spare parts;Starter intiqalının (bendeksinin) sökülüb təmir olunması, ehtiyat hissəsi ilə birlikdə;2810038070. .Çin, Original;2810038070;Starter drive;起动机单向器;Engine / Starter;;China;New;Original;;;
8545;更换启动开关（自动），包括备件;Replacement of starter switch (automatic), including spare part;Starter qoşucusunun (avtomatının) dəyişdirilməsi, ehtiyat hissəsi ilə birlikdə;2802138070. .Çin, Original;2802138070;Starter solenoid;起动机电磁开关;Engine / Starter;;China;New;Original;;;
8546;启动器碳罐更换，含备件;Starter carbon replacement, with spare part;Starter kömürünün dəyişdirilməsi, ehtiyat hissəsi ilə birlikdə;2814035060. .Çin, Original;2814035060;Starter brush;起动机碳刷;Engine / Starter;;China;New;Original;;;
8547;启动锚更换，包括备件;Starter anchor replacement, including spare part;Starter lövbərinin (yakorunun) dəyişdirilməsi, ehtiyat hissəsi ilə birlikdə;2814038070. .Çin, Original;2814038070;Starter coil;起动机绕组;Engine / Starter;;China;New;Original;;;
8548;更换发电机，包括新的发电机和备用零件。;Replacement of the dynamo with a new one, along with spare parts;Dinamonun yenisi ilə əvəz olunması, ehtiyat hissəsi ilə birlikdə;2816038080. .Çin, Original;2816038080;Alternator;发电机;Engine / Alternator;;China;New;Original;;;
8549;更换发电机继电器，包括备件;Replacement of the dynamo relay, including spare part;Dinamo relesinin dəyişdirilməsi, ehtiyat hissəsi ilə birlikdə;2706038110. .Çin, Original;2706038110;Alternator relay;发电机继电器;Engine / Alternator;;China;New;Original;;;
8550;更换发电机电枢（绕组），包括备件;Replacement of the dynamo armature (winding), including spare part;Dinamo lövbərinin (obmotka) dəyişdirilməsi, ehtiyat hissəsi ilə birlikdə;2737027060. .Çin, Original;2737027060;Alternator winding;发电机绕组;Engine / Alternator;;China;New;Original;;;
8551;发电机皮带更换，含备件;Dynamo belt replacement, with spare part;Dinamo qayışının dəyişdirilməsi, ehtiyat hissəsi ilə birlikdə;2736038180. .Çin, Original;2736038180;Alternator belt;发电机皮带;Engine / Belts;;China;New;Original;;;
8552;更换挡风玻璃雨刮电机，包括备件。;Replacing the windshield wiper motor with a new one, including spare parts;Şüşəsilənin motorunun yenisi ilə əvəz olunması, ehtiyat hissəsi ilə birlikdə;9091602759. .Çin, Original;9091602759;Windshield wiper motor;雨刷电机;Accessories / Wipers;;China;New;Original;;;
8553;更换雨刮片，包括备用零件。;Replacing the wiper blades with new ones, including spare parts;Şüşəsilənin fırçalarının yenisi ilə əvəz olunması, ehtiyat hissəsi ilə birlikdə;8511060400. .Çin, Original;8511060400;Windshield wiper blade;雨刷片;Accessories / Wipers;;China;New;Original;;;
8554;更换制动主缸，包括备件;Master brake cylinder replacement, including spare part;Baş əyləc (qlavnıy) silindrin dəyişdirilməsi, ehtiyat hissəsi ilə birlikdə;8522242110. .Çin, Original;8522242110;Master cylinder;主缸;Braking System;;China;New;Original;;;
8555;离合器缸更换，包括备件;Clutch cylinder replacement, including spare part;Muftanın silindrinin dəyişdirilməsi, ehtiyat hissəsi ilə birlikdə;4705260682. .Çin, Original;4705260682;Clutch cylinder;离合器液压缸;Clutch System;;China;New;Original;;;
8556;更换挡风玻璃（底玻璃）;Replacing the windshield (underglaze) with a new one;Ön alın şüşəsinin (podpresin) yenisi ilə əvəz olunması;561016A916 .Çin, Original;561016A916;Front windshield;前挡风玻璃;Body / Glass;;China;New;Original;;;
8557;更换后减震器垫片（含备件）;Replacement of the rear shock absorber pad with a new one, including spare parts;Arxa amortizator yastığının yenisi ilə əvəz olunması, ehtiyat hissəsilə ilə birlikdə;561016A916 .Çin, Original;561016A916;Rear shock absorber mount;后减震器胶垫;Suspension;;China;New;Original;;;
8558;更换左前内挡泥板，使用新的内挡泥板，并附上备件。;Replacement of the front left inner fender with a new one, along with the spare part;Ön sol iç qranatın yenisi ilə əvəz olunması, ehtiyat hissəsi ilə birlikdə;4340360030. .Çin, Original;4340360030;Front left CV joint;左前等速万向节;Drivetrain;;China;New;Original;;;
8559;更换左前外壳，包括备用零件。;Replacement of the front left outer shell with a new one, including a spare part;Ön sol çöl qranatın yenisi ilə əvəz olunması, ehtiyat hissəsi ilə birlikdə;4340360030. .Çin, Original;4340360030;Front left CV joint;左前等速万向节;Drivetrain;;China;New;Original;;;
8560;更换右前外壳，包括备用零件。;Replacement of the front right outer shell with a new one, including a spare part;Ön sağ çöl qranatın yenisi ilə əvəz olunması, ehtiyat hissəsi ilə birlikdə;4346069236. .Çin, Original;4346069236;Front right CV joint;右前等速万向节;Drivetrain;;China;New;Original;;;
8561;更换右前内挡泥板，包括备用零件。;Replacement of the front right inner fender with a new one, including the spare part;Ön sağ iç qranatın yenisi ilə əvəz olunması, ehtiyat hissəsi ilə birlikdə;4346069236. .Çin, Original;4346069236;Front right CV joint;右前等速万向节;Drivetrain;;China;New;Original;;;
8562;更换万向轴横梁，包括备件。;Replacement of the cardan shaft cross member with a new one, including spare parts;Kardan valının çarpazının (krestovinin) yenisi ilə əvəz olunması, ehtiyat hissəsi ilə birlikdə;4340360030. .Çin, Original;4340360030;Drive shaft cross;传动轴十字轴;Transmission / Drivetrain;;China;New;Original;;;
8563;更换右上臂，包括备件;Replacement of the upper right arm, including spare part;Üst sağ qolun dəyişdirilməsi, ehtiyat hissəsi ilə birlikdə;0437160070. .Çin, Original;0437160070;Upper right control arm;右上控制臂;Suspension;;China;New;Original;;;
8564;更换左上臂，包括备件;Replacement of the upper left arm, including spare part;Üst sol qolun dəyişdirilməsi, ehtiyat hissəsi ilə birlikdə;4861060060. .Çin, Original;4861060060;Upper left control arm;左上控制臂;Suspension;;China;New;Original;;;
8565;更换上窗扇，包括备件;Replacement of the upper sash, including spare part;Üst şaravoyun dəyişdirilməsi, ehtiyat hissəsi ilə birlikdə;4863060030. .Çin, Original;4863060030;Upper ball joint;上球头;Suspension;;China;New;Original;;;
8566;发动机机油，包括更换;Engine oil, including change;Mühərrik yağı, dəyişilməsi ilə birlikdə;15x40 Bendix Türkiyə;15x40;Türkiyə;Türkiyə;Türkiyə;;China;New;Original;;;
8567;发动机机油滤清器;Engine oil filter;Mühərrik yağ filtri;0986452003. .Çin, Original;0986452003;Oil filter;机油滤清器;Engine;;China;New;Original;;;
8568;冷却液（防冻液），包括更换;Coolant (antifreeze), including replacement;Soyutma mayesi (antifriz), dəyişdirilməsi ilə birlikdə;Antifreeze -56 3L Bendix, Türkiyə.;Antifreeze -56 3L;Türkiyə;Türkiyə;Türkiyə;;China;New;Original;;;
8569;变速箱油，包括更换;Gearbox oil, including change;Sürətlər qutusunun yağı, dəyişilməsi ilə birlikdə;ATF DSG  Bendix, Türkiyə.;ATF DSG;Türkiyə;Türkiyə;Türkiyə;;China;New;Original;;;
8570;更换燃油滤清器，使用新的滤清器和备用零件。;Replacing the fuel filter with a new one, along with a spare part;Yanacaq süzgəcinin yenisi ilə əvəz olunması, ehtiyat hissəsi ilə birlikdə;31519611170100. .Çin, Original;31519611170100;Fuel filter;燃油滤清器;Fuel System;;China;New;Original;;;
8571;更换空气滤清器，包括一个新的和备用的。;Replacing the air filter with a new one, along with a spare part;Hava süzgəcinin yenisi ilə əvəz olunması, ehtiyat hissəsi ilə birlikdə;1109080. .Çin, Original;1109080;Air filter;空气滤清器;Engine;;China;New;Original;;;
8572;更换火花塞时，使用新的火花塞和备用零件。;Replacing the spark plug with a new one, along with the spare part;Alışdırma şamının yenisi ilə əvəz olunması, ehtiyat hissəsi ilə birlikdə;D17YC .Çin, Original;D17YC;Spark plug;火花塞;Engine;;China;New;Original;;;
